용어,원래 의미,뜻,사용 예시
그로스해킹(Growth Hacking),Growth Hacking,빠른 성장을 위한 데이터 기반 마케팅,이번 캠페인은 그로스해킹하게 접근해서 숫자로 성과를 확인해봅시다.
깃타(Git 타다),Git,Git에 코드 커밋하고 푸시하는 행위,수정한 코드 확인했으니 지금 바로 깃타하고 PR 올려주세요.
데드라인(Deadline),Deadline,마감 기한,이 작업 데드라인이 금요일이라 오늘 안에 초안까지는 끝내야 해요.
데분 (Data Analyst),Data Analyst,데이터 분석가,이번 리포트는 데분이 먼저 데이터를 정리한 뒤 공유하기로 했어요.
데싸 (Data Scientist),Data Scientist,데이터 사이언티스트,추천 모델 성능 개선은 데싸가 실험을 주도하고 있어요.
데엔 (Data Engineer),Data Engineer,데이터 엔지니어,로그 파이프라인 이슈는 데엔이 먼저 확인해보기로 했어요.
데이터 드리븐(Data-driven),Data-driven,데이터 기반 의사결정 방식,이번 캠페인은 데이터 드리븐하게 접근해서 숫자로 성과를 확인해봅시다.
데일리 스크럼 (Daily Scrum),Daily + Scrum,매일 하는 업무 공유 회의,오늘 데일리 스크럼에서 어제 진행한 내용과 남은 이슈를 같이 정리해요.
듀데잇 (Due Date),Due Date,마감 기한,이 작업 듀데잇이 금요일이라 오늘 안에 초안까지는 끝내야 해요.
드롭( Drop),Drop,프로젝트나 기능을 포기하는 결정,상황 봐서 드롭도 열어두고 유연하게 판단합시다.
드릴다운(Drill Down),Drill Down,특정 문제를 깊이 분석하는 과정,본격적으로 실행하기 전에 드릴다운 단계에서 문제를 먼저 확인해봐요.
디벨롭(Develop),Develop,개발,이번 주에는 디벨롭 관련 내용을 팀에서 공통 언어처럼 자주 쓰고 있어요.
디스커버리(Discovery),Discovery,문제 해결을 위한 탐색 과정,본격적으로 실행하기 전에 디스커버리 단계에서 문제를 먼저 확인해봐요.
디스커션(Discussion),Discussion,"논의, 토론",회의 전에 디스커션부터 해두면 의사결정이 훨씬 빨라져요.
디시전 메이킹(Decision Making),Decision Making,의사결정 과정,회의 전에 디시전 메이킹부터 해두면 의사결정이 훨씬 빨라져요.
디자인 시스템(Design System),Design System,일관된 디자인을 위한 시스템,개발 들어가기 전에 디자인 시스템 기준부터 팀 내에서 통일해두는 게 좋아요.
